Date,Close/Last,Volume,Open,High,Low
05/13/2021,$155.23,342934,$153.86,$155.39,$153.12
05/12/2021,$153.52,627588,$155.50,$155.672,$153.145
05/11/2021,$152.24,431262,$152.65,$152.65,$151.155
05/10/2021,$155.06,264146,$155.33,$155.72,$154.71
05/07/2021,$153.65,162495,$153.34,$153.72,$153.04
05/06/2021,$152.96,194242,$153.24,$153.30,$151.87
05/05/2021,$151.42,169355,$152.09,$152.2934,$151.1118
05/04/2021,$150.59,266757,$151.51,$151.63,$150.25
05/03/2021,$152.23,230950,$151.48,$152.76,$151.34
04/30/2021,$150.77,394014,$150.09,$151.60,$149.90
04/29/2021,$152.43,377613,$153.50,$153.77,$151.69
04/28/2021,$153.26,236243,$153.20,$153.81,$152.83
04/27/2021,$152.81,490430,$152.59,$153.17,$152.27
04/26/2021,$153.54,249758,$154.31,$154.31,$153.49
04/23/2021,$154.99,233705,$153.99,$155.59,$153.915
04/22/2021,$154.78,227426,$155.50,$155.58,$154.41
04/21/2021,$155.14,322370,$153.50,$155.58,$153.50
04/20/2021,$154.10,317878,$154.74,$154.8055,$152.904
04/19/2021,$156.41,242376,$157.96,$157.98,$155.93
04/16/2021,$157.57,162723,$157.80,$157.90,$157.10
04/15/2021,$157.31,179184,$156.98,$157.43,$156.50
04/14/2021,$156.22,172996,$156.25,$156.88,$155.873
04/13/2021,$155.77,220299,$155.00,$155.79,$154.32
04/12/2021,$154.09,246349,$154.91,$154.91,$153.9016
04/09/2021,$154.28,181586,$154.06,$154.45,$153.51
04/08/2021,$153.38,233738,$154.35,$154.70,$152.89
04/07/2021,$154.70,216467,$154.84,$155.74,$154.55
04/06/2021,$153.65,400571,$153.10,$154.29,$153.04
04/05/2021,$155.38,300632,$154.16,$155.84,$153.78
04/01/2021,$154.16,274499,$153.60,$154.2321,$153.04
03/31/2021,$156.06,289263,$156.22,$156.4661,$155.81
03/30/2021,$153.87,475959,$153.63,$154.64,$153.3801
03/29/2021,$154.90,317160,$154.00,$155.30,$153.53
03/26/2021,$153.37,312223,$153.00,$153.41,$152.09
03/25/2021,$151.07,273943,$150.00,$151.26,$149.12
03/24/2021,$150.67,344301,$150.99,$151.38,$150.40
03/23/2021,$151.34,386895,$153.05,$153.09,$151.1011
03/22/2021,$154.48,451109,$155.20,$155.20,$154.19
